IO-Export to Render[SKP],,,,,,
Date,User,Exported Path,Name,Size (bytes),Num objects,Succeeded
2018-07-24_17:18:41.90,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180724_OPTION_01.skp,180724_OPTION_01,996134,306,TRUE
2018-07-24_17:27:17.71,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180724_OPTION_01.skp,180724_OPTION_01,996134,306,TRUE
2018-07-24_17:28:33.75,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180724_OPTION_01.skp,180724_OPTION_01,639676,1,TRUE
2018-07-24_18:39:28.22,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180724_OPTION_01.skp,180724_OPTION_01,639676,1,True
2018-07-25_08:55:15.18,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180725_OPTION_01.skp,180725_OPTION_01,38169,17,True
2018-07-25_09:01:07.53,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180725_OPTION_01.skp,180725_OPTION_01,38484,17,True
2018-07-26_11:27:48.10,fsgxpmwwjxogdnviwnfc,C:\Users\cobrien\Desktop\180726_OPTION_01.skp,180726_OPTION_01,362042494,143,True
2018-07-26_12:08:54.82,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,285462,1,True
2018-07-26_12:15:27.65,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,3090158,1,True
2018-07-26_12:16:32.40,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,26166,1,True
2018-07-26_15:13:21.3,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,279023,1,True
2018-07-26_15:13:36.28,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,279023,1,True
2018-07-26_15:16:03.93,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,300675,1,True
2018-07-26_15:29:02.49,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,6102,1,True
2018-07-26_15:30:15.97,wanrsqjwdptgkljcpwqu,C:\Users\twilliams\Desktop\180726_OPTION_01.skp,180726_OPTION_01,1046816,1,True
